iter	Passed	Remaining
126	12350	50861
127	12442	50741
128	12542	50655
129	12679	50717
130	12810	50752
131	12921	50707
132	13032	50661
133	13148	50633
134	13264	50600
135	13360	50493
136	13470	50440
137	13567	50336
138	13677	50283
139	13769	50160
140	13871	50076
141	13984	50027
142	14078	49914
143	14164	49771
144	14240	49597
145	14360	49574
146	14463	49490
147	14576	49441
148	14669	49325
149	14765	49218
150	14848	49069
151	14948	48975
152	15051	48892
153	15136	48750
154	15243	48682
155	15345	48594
156	15458	48542
157	15544	48405
158	15655	48345
159	15766	48283
160	15859	48170
161	15986	48156
162	16089	48069
163	16186	47965
164	16293	47892
165	16395	47804
166	16512	47758
167	16613	47664
168	16713	47569
169	16853	47587
170	16973	47546
171	17100	47524
172	17203	47433
173	17306	47344
174	17402	47235
175	17528	47206
176	17624	47099
177	17731	47019
178	17809	46862
179	17922	46796
180	18008	46662
181	18119	46591
182	18224	46507
183	18324	46409
184	18434	46334
185	18528	46222
186	18637	46145
187	18710	45979
188	18822	45909
189	18931	45833
190	19051	45782
191	19165	45717
192	19284	45662
193	19366	45522
194	19479	45453
195	19581	45356
196	19684	45264
197	19785	45166
198	19905	45112
199	20016	45037
200	20096	44892
201	20202	44805
202	20319	44742
203	20417	44637
204	20530	44567
205	20618	44439
206	20749	44405
207	20852	44310
208	20969	44247
209	21092	44193
210	21203	44114
211	21339	44087
212	21457	44022
213	21549	43903
214	21666	43837
215	21780	43762
216	21899	43697
217	22009	43614
218	22113	43520
219	22225	43441
220	22330	43347
221	22427	43237
222	22542	43164
223	22659	43093
224	22754	42981
225	22868	42902
226	22975	42812
227	23091	42739
228	23231	42710
229	23357	42653
230	23456	42546
231	23573	42473
232	23685	42390
233	23794	42301
234	23877	42166
235	23994	42092
236	24101	41998
237	24187	41870
238	24291	41773
239	24408	41697
240	24509	41595
241	24613	41497
242	24725	41412
243	24820	41299
244	24920	41195
245	25025	41099
246	25114	40976
247	25227	40893
248	25366	40850
249	25475	40761
250	25593	40684
251	25679	40556
252	25780	40453
253	25869	40332
254	25978	40240
255	26111	40187
256	26218	40092
257	26321	39992
258	26424	39891
259	26548	39822
260	26671	39752
261	26774	39651
262	26908	39594
263	27021	39508
264	27136	39425
265	27245	39331
266	27366	39256
267	27464	39147
268	27588	39075
269	27702	38988
270	27821	38908
271	27926	38809
272	28043	38727
273	28161	38645
274	28294	38583
275	28369	38442
276	28478	38347
277	28599	38269
278	28711	38178
279	28815	38077
280	28929	37989
281	29042	37899
282	29162	37819
283	29262	37711
284	29394	37645
285	29511	37560
286	29629	37475
287	29754	37400
288	29861	37301
289	29982	37220
290	30118	37156
291	30255	37094
292	30358	36989
293	30476	36903
294	30577	36796
295	30700	36716
296	30811	36620
297	30908	36509
298	31011	36404
299	31129	36317
300	31215	36193
301	31349	36125
302	31449	36016
303	31568	35930
304	31675	35829
305	31800	35749
306	31934	35679
307	32051	35589
308	32166	35497
309	32283	35407
310	32399	35316
311	32488	35196
312	32585	35084
313	32716	35008
314	32844	34929
315	32974	34852
316	33063	34732
317	33170	34631
318	33291	34543
319	33419	34463
320	33537	34372
321	33652	34279
322	33764	34183
323	33883	34092
324	33983	33983
325	34079	33870
326	34171	33753
327	34279	33652
328	34363	33528
329	34486	33441
330	34614	33359
331	34736	33271
332	34869	33194
333	34975	33090
334	35093	32998
335	35192	32888
336	35306	32791
337	35430	32705
338	35558	32621
339	35666	32519
340	35770	32413
341	35885	32318
342	35993	32216
343	36119	32129
344	36232	32031
345	36357	31943
346	36450	31828
347	36557	31725
348	36672	31628
349	36795	31538
350	36913	31444
351	37041	31358
352	37173	31276
353	37267	31161
354	37397	31076
355	37503	30972
356	37617	30873
357	37720	30766
358	37832	30666
359	37950	30571
360	38075	30481
361	38188	30382
362	38304	30284
363	38422	30188
364	38528	30084
365	38635	29979
366	38767	29893
367	38866	29783
368	38988	29690
369	39081	29575
370	39195	29476
371	39308	29375
372	39419	29274
373	39530	29172
374	39645	29073
375	39765	28978
376	39860	28864
377	39967	28759
378	40084	28661
379	40188	28554
380	40319	28467
381	40408	28349
382	40523	28249
383	40593	28119
384	40708	28020
385	40840	27932
386	40954	27832
387	41069	27732
388	41181	27630
389	41306	27537
390	41415	27433
391	41520	27327
392	41645	27233
393	41765	27136
394	41874	27033
395	41998	26938
396	42112	26837
397	42210	26726
398	42318	26621
